company,role,location,term,duration,field,link,date_posted,deadline,salary,notes
Canadian Space Agency,Internship in Economic Research and Analysis Policy Fall 2023,"Longueuil, QC",Fall,4,Aerospace,https://asc-csa.hiringplatform.ca/132720-stage-en-recherche-et-analyse-economique/530798-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship - Documentation Technician Cybersecurity and Information Management Fall 2023,"Longueuil, QC",Fall,4,Aerospace,https://asc-csa.hiringplatform.ca/132716-stage-technicien-en-documentation/530784-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship – Gateway Project Management Space Exploration - Gateway Fall 2023,"Longueuil, QC",Fall,4,Aerospace,https://asc-csa.hiringplatform.ca/132755-stage-gestion-de-projet-gateway/530976-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Engeneering Internship (Building Operations) Real Property Management & Facilities Modernization Directorate Fall 2023,"Longueuil, QC",Fall,4,Aerospace,https://asc-csa.hiringplatform.ca/132771-stage-en-ingenierie-exploitation-de-batiments/531078-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,"Space Utilization Planning and Innovation Internship Space Utilization / Planning, engagement and applicationsFall 2023","Longueuil, QC",Fall,4,Aerospace,https://asc-csa.hiringplatform.ca/132698-stage-en-planification-et-innovation-de-l-utilisation-de-l-espace/530662-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship – Major Projects - Facilities Corporate Services Fall 2023,"Longueuil, QC",Fall,4,Aerospace,https://asc-csa.hiringplatform.ca/132801-stage-grands-projets-installations/531248-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Policy Industry Relations Internship on stakeholder engagement & information management Policy – Industry Relations Fall 2023,"Longueuil, QC",Fall,4,Aerospace,https://asc-csa.hiringplatform.ca/132808-stage-dans-le-groupe-relations-avec-l-industrie/531283-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship - Systems Engineering Design Tool for Optical Payloads Space Exploration Fall 2023,"Longueuil, QC",Fall,4,Aerospace,https://asc-csa.hiringplatform.ca/133296-stage-outil-de-conception-de-genie-des-systemes-pour-charges-utiles-optiques/534296-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,"Intern - Engineer, Project Management - Space, Science and Technology - Winter 2024","Longueuil, QC",Winter,4,Aerospace,https://asc-csa.hiringplatform.ca/145365-stage-en-genie-gestion-de-projet/591613-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Food Production Initiative Intern - Space Exploration  - Winter 2024,"Longueuil, QC",Winter,4,Aerospace,https://asc-csa.hiringplatform.ca/147875-stagiaire-en-production-alimentaire/603779-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship - Database/Python Developer - Space Utilization - Winter 2024,"Longueuil, QC",Winter,4,Software,https://asc-csa.hiringplatform.ca/148367-stage-base-de-donnees-developpeur-python/606208-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,"Internship - Mission Planner, Data Acquisition - Space Exploitation - Winter 2024","Longueuil, QC",Winter,4,Aerospace,https://asc-csa.hiringplatform.ca/148714-stagiaire-planificateur-de-mission-acquisition-de-donnees/607611-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship– Machine Learning software development for processing space-based data - Space Science and Technology - Winter 2024,"Longueuil, QC",Winter,4,Software,https://asc-csa.hiringplatform.ca/148727-stage-developpement-logiciel-en-apprentissage-automatique-machine-learning-pour-traitement-de-donnees-generees-de-l-espace/607643-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Intern in Space Astronomy - Space Exploration - Winter 2024,"Longueuil, QC",Winter,4,Aerospace,https://asc-csa.hiringplatform.ca/149026-stagiaire-en-astronomie-spatiale/609194-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,"Internship - Information Specialist, Library Service - Information Management and Information Technology - Winter 2024","Longueuil, QC",Winter,4,Aerospace,https://asc-csa.hiringplatform.ca/149031-stage-specialiste-de-l-information-service-de-bibliotheque/609212-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Summer 2024 Indigenous Student Cohort - Various - Summer 2024,"Longueuil, QC",Summer,4,Aerospace,https://asc-csa.hiringplatform.ca/156416-offre-d-emploi-pour-etudiants-autochtones-pour-l-ete-2024/642935-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,"Internship – Lunar Rover, Space / Systems Engineering - Space Exploration - Summer 2024","Longueuil, QC",Summer,4,Aerospace,https://asc-csa.hiringplatform.ca/164135-stage-vlu-ingenieur-systeme-spatial/687564-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,IT support intern - IM IT - Summer 2024,"Longueuil, QC",Summer,4,Aerospace,https://asc-csa.hiringplatform.ca/164675-stagiaire-support-ti/691021-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,"Intern, IT Asset Management Technician - IM IT - Summer 2024","Longueuil, QC",Summer,4,Aerospace,https://asc-csa.hiringplatform.ca/165071-stagiaire-technicien-a-la-gestion-des-actifs-ti/692858-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship - Occupational Health and Safety - Finance and Corporate Services - Summer 2024,"Longueuil, QC",Summer,4,Aerospace,https://asc-csa.hiringplatform.ca/165850-stage-sante-et-securite-au-travail/696482-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship - New mission analysis and satellite component database development - Space Utilization - Summer 2024,"Longueuil, QC",Summer,4,Aerospace,https://asc-csa.hiringplatform.ca/165879-stage-analyses-pour-de-nouvelles-missions-et-developpement-de-bases-de-donnees-pour-des-composantes-de-satellites/696599-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship - Support to Optical Instrument Design and Atmospheric Modelling - Design Trade-off and Instrument Performance Analysis - Space Science and Technology - Summer 2024,"Longueuil, QC",Summer,4,Aerospace,https://asc-csa.hiringplatform.ca/165986-stage-soutien-au-design-d-instruments-optiques-et-modelisation-atmospherique-analyse-d-options-et-de-performances/697006-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship - Integrating scientific instrument data products into the VR system for the Lunar Rover Mission - Space Science and Technology - Summer 2024,"Longueuil, QC",Summer,4,Aerospace,https://asc-csa.hiringplatform.ca/165994-stage-integration-de-donnees-d-instruments-scientifiques-dans-le-systeme-de-realite-virtuelle-pour-la-mission-du-rover-lunaire/697047-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,"Internship in Space Exploration Planning, Coordination and Advanced Concepts - Space Exploration - Summer 2024","Longueuil, QC",Summer,4,Aerospace,https://asc-csa.hiringplatform.ca/166119-stage-dans-l-equipe-de-planification-coordination-et-concepts-avances-de-l-exploration-spatiale/698183-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship - Solar Terrestrial Science Communications - Space Utilization - Summer 2024,"Longueuil, QC",Summer,4,Aerospace,https://asc-csa.hiringplatform.ca/166158-stage-communications-scientifiques-solaires-terrestres/698445-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Business Analysis and Business Intelligence Intern - Space Utilization - Summer 2024,"Longueuil, QC",Summer,4,Aerospace,https://asc-csa.hiringplatform.ca/166236-stage-analyste-d-affaires-intelligence-d-affaires/698866-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,"Intern, Digital transformation - IM IT - Summer 2024","Longueuil, QC",Summer,4,Aerospace,https://asc-csa.hiringplatform.ca/166333-stagiaire-transformation-numerique/699415-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,"Intern, IT Enterprise architecture - IM IT - Summer 2024","Longueuil, QC",Summer,4,Aerospace,https://asc-csa.hiringplatform.ca/166521-stagiaire-architecture-integree-de-la-ti/700252-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,"Internship - Planning, Mobilization and Innovation - Space Science and Technology - Summer 2024","Longueuil, QC",Summer,4,Aerospace,https://asc-csa.hiringplatform.ca/166786-stage-planification-mobilisation-et-innovation/701597-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship - Laboratory Assistant for Astromaterial Curation - Space Exploration - Autumn 2024,"Longueuil, QC",Fall,4,Aerospace,https://asc-csa.hiringplatform.ca/180875-stage-assistant-de-laboratoire-pour-la-conservation-des-echantillons-extraterrestres/779951-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Data Science Intern - IM IT - Autumn 2024,"Longueuil, QC",Fall,4,AI / Data,https://asc-csa.hiringplatform.ca/181389-stagiaire-en-science-des-donnees/782601-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Software Engineering Internship - Space Exploration - Autumn 2024,"Longueuil, QC",Fall,4,Software,https://asc-csa.hiringplatform.ca/181383-stage-en-genie-logiciel/782568-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship - Mission scientist apprentice - Space Utilization - Autumn 2024,"Longueuil, QC",Fall,4,Aerospace,https://asc-csa.hiringplatform.ca/181481-stage-apprenti-e-scientifique-de-missions/783049-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship - Satellite Operations Mission Support – Data Acquisition and Management - Space Utilization - Autumn 2024,"Longueuil, QC",Fall,4,Aerospace,https://asc-csa.hiringplatform.ca/181704-stage-soutien-aux-missions-d-operations-satellitaires-acquisition-et-gestion-de-donnees/784350-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship - Business Intelligence - IM IT - Autumn 2024,"Longueuil, QC",Fall,4,Aerospace,https://asc-csa.hiringplatform.ca/181709-stage-intelligence-d-affaires/784380-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Technology Planning Engineering Intern - Space Science and Technology - Autumn 2024,"Longueuil, QC",Fall,4,Aerospace,https://asc-csa.hiringplatform.ca/181687-stagiaire-ingenieur-en-planification-technologique/784262-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship - Analysis of Quantum Key Distribution Algorithms - Space Utilization - Autumn 2024,"Longueuil, QC",Fall,4,Aerospace,https://asc-csa.hiringplatform.ca/181691-stage-analyse-d-algorithme-de-distribution-de-clefs-quantiques/784288-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Intern in Project Management – engineer - Space Utilization - Autumn 2024,"Longueuil, QC",Fall,4,Aerospace,https://asc-csa.hiringplatform.ca/181706-stagiaire-en-gestion-de-projet-ingenieur-e/784353-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Systems Engineering Intern - Space Utilization - Autumn 2024,"Longueuil, QC",Fall,4,Aerospace,https://asc-csa.hiringplatform.ca/181835-stagiaire-en-ingenierie-de-systemes/784951-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship - HAWC Space Mission Development - Space Utilization - Autumn 2024,"Longueuil, QC",Fall,4,Aerospace,https://asc-csa.hiringplatform.ca/181995-stage-developpement-de-la-mission-spatiale-avenir/785728-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,"Intern, Internal Audit - Audit and Evaluation - Winter 2025","Longueuil, QC",Winter,4,Aerospace,https://asc-csa.hiringplatform.ca/191471-stagiaire-audit-interne/834386-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Corporate Videos Internship - Programs and Integrated Planning - Winter 2025,"Longueuil, QC",Winter,4,Aerospace,https://asc-csa.hiringplatform.ca/191951-stage-en-videos-corporatives/837801-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Space utilization internship on satellite Earth observation - Space Utilization - Winter 2025,"Longueuil, QC",Winter,4,Aerospace,https://asc-csa.hiringplatform.ca/191964-stage-en-utilisation-de-l-espace-et-observation-de-la-terre-par-satellite/837848-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Earth Observation Intern - Space Utilization - Winter 2025,"Longueuil, QC",Winter,4,Aerospace,https://asc-csa.hiringplatform.ca/191967-stagiaire-en-observation-de-la-terre/837854-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Cost Engineering Intern - Finance and Corporate Services - Winter 2025,"Longueuil, QC",Winter,4,Aerospace,https://asc-csa.hiringplatform.ca/192147-ingenieur-stagiaire-en-etablissement-des-couts/838877-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship - Open Text Livelink Software Programmer - Space Science and Technology - Winter 2025,"Longueuil, QC",Winter,4,Software,https://asc-csa.hiringplatform.ca/192142-stage-programmeur-open-text-livelink/838865-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Engineering/Science Intern - Space Utilization - Winter 2025,"Longueuil, QC",Winter,4,Aerospace,https://asc-csa.hiringplatform.ca/192335-stagiaire-en-ingenierie-science/839929-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Interniship - Support in design and tests of stratospheric balloon sub-systems - Space Science and Technology - Winter 2025,"Longueuil, QC",Winter,4,Aerospace,https://asc-csa.hiringplatform.ca/193002-stage-soutien-a-la-conception-et-aux-tests-de-sous-systeme-pour-ballons-stratospheriques/843662-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship - Mission and Instrument Design - Space Utilization - Summer 2025,"Longueuil, QC",Summer,4,Aerospace,https://asc-csa.hiringplatform.ca/203446-stage-conception-de-la-mission-et-des-instruments/900848-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,AI & Data Engineering Intern - Space Utilization - Summer 2025,"Longueuil, QC",Summer,4,AI / Data,https://asc-csa.hiringplatform.ca/203610-stagiaire-en-ingenierie-des-donnees-et-intelligence-artificielle/901959-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship - Atmospheric data analysis and optical background monitor development for the QEYSSat mission - Space Science and Technology - Summer 2025,"Longueuil, QC",Summer,4,Aerospace,https://asc-csa.hiringplatform.ca/203636-stage-analyse-de-donnees-atmospheriques-et-developpement-d-un-moniteur-de-fond-optique-pour-la-mission-qeyssat/902054-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship – Artificial Intelligence for Space Systems Engineering - Space Utilization - Summer 2025,"Longueuil, QC",Summer,4,AI / Data,https://asc-csa.hiringplatform.ca/203785-stage-l-ia-au-service-de-l-ingenierie-des-systemes-spatiaux/903011-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship - Space Exploration Development – Avionics and Software - Space Exploration - Summer 2025,"Longueuil, QC",Summer,4,Software,https://asc-csa.hiringplatform.ca/203881-stage-developpement-de-l-exploration-spatiale-avionique-et-logiciel/903600-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,"Internship - Engineer, Project Management - Space Utilization - Fall 2025","Longueuil, QC",Fall,4,Aerospace,https://asc-csa.hiringplatform.ca/212315-stage-ingenieur-e-gestion-de-projets/943617-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship - Quantum key distribution simulations - Space Utilization - Fall 2025,"Longueuil, QC",Fall,4,Aerospace,https://asc-csa.hiringplatform.ca/212953-stage-simulations-de-distribution-de-cles-quantiques/946909-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Agile Project Management Internship - Programs and Integrated Planning - Fall 2025,"Longueuil, QC",Fall,4,Aerospace,https://asc-csa.hiringplatform.ca/213228-stage-en-gestion-de-projet-agile/948010-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Program Integration Intern - Lunar Exploration - Space Exploration - Fall 2025,"Longueuil, QC",Fall,4,Aerospace,https://asc-csa.hiringplatform.ca/213227-stagiaire-en-integration-de-programme-exploration-lunaire/948009-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Intern - Assessment of background light and atmospheric conditions at the QEYSSat Optical Quantum Ground Station - Space Science and Technology - Fall 2025,"Longueuil, QC",Fall,4,Aerospace,https://asc-csa.hiringplatform.ca/213304-stage-evaluation-du-fond-optique-et-des-conditions-atmospheriques-a-la-station-terrestre-quantique-optique-de-qeyssat/948389-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Project Management Engineering Intern - Space Science and Technology - Fall 2025,"Longueuil, QC",Fall,4,Aerospace,https://asc-csa.hiringplatform.ca/213412-stagiaire-ingenieur-e-gestion-de-projet/948811-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Intern in Data Science and Artificial Intelligence - Space Utilization - Fall 2025,"Longueuil, QC",Fall,4,AI / Data,https://asc-csa.hiringplatform.ca/213379-stagiaire-en-science-des-donnees-et-intelligence-artificielle/948675-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Engineering and Project Management/Science Internships - Space Utilization - Fall 2025,"Longueuil, QC",Fall,4,Aerospace,https://asc-csa.hiringplatform.ca/213395-stagiaires-en-ingenierie-et-gestion-de-projet-science/948724-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship – Natural Language Interface for Earth Observation Analytics - Space Utilization - Fall 2025,"Longueuil, QC",Fall,4,AI / Data,https://asc-csa.hiringplatform.ca/213415-stage-interface-en-langage-naturel-pour-l-analyse-de-l-observation-de-la-terre/948824-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,"Intern, IT Enterprise Architecture","Longueuil, QC",Fall,4,Aerospace,https://asc-csa.hiringplatform.ca/220369-stagiaire-architecture-integree-de-la-ti/985143-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship - Laboratory Assistant for Astromaterial Curation,"Longueuil, QC",Fall,4,Aerospace,https://asc-csa.hiringplatform.ca/220375-stage-assistant-de-laboratoire-pour-la-conservation-des-echantillons-extraterrestres/985173-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Intern – Support to the Canadian Space Agency's (CSA) Technology Strategy - Space Science and Technology - Winter 2026,"Longueuil, QC",Winter,4,Aerospace,https://asc-csa.hiringplatform.ca/221402-stagiaire-appui-a-la-strategie-technologique-de-l-asc/990232-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship – Generative AI for Systems Engineering - Space Exploration - Winter 2026,"Longueuil, QC",Winter,4,AI / Data,https://asc-csa.hiringplatform.ca/221712-stage-ia-generative-pour-ingenierie-des-systemes/992033-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship - Software development using Unreal Engine - Space Exploration - Winter 2026,"Longueuil, QC",Winter,4,Software,https://asc-csa.hiringplatform.ca/221742-stage-developpement-de-logiciels-utilisant-unreal-engine/992316-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship - Occupational Health and Safety - Space Science and Technology - Winter 2026,"Longueuil, QC",Winter,4,Aerospace,https://asc-csa.hiringplatform.ca/221760-stage-sante-et-securite-au-travail/992415-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship - Intelligent CSA Space Science Query System (ICSSQS) - Space Utilization - Winter 2026,"Longueuil, QC",Winter,4,Aerospace,https://asc-csa.hiringplatform.ca/221856-stage-systeme-de-requete-scientifique-spatiale-intelligent-de-l-asc-icssqs/992888-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Business intelligence internship in smartEarth group - Space Utilization - Winter 2026,"Longueuil, QC",Winter,4,Aerospace,https://asc-csa.hiringplatform.ca/221828-stage-en-intelligence-d-affaire-dans-le-groupe-utiliterre/992741-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship - Co-registration and Segmentation of Multispectral Images from Separate Cameras - Space Science and Technology - Winter 2026,"Longueuil, QC",Winter,4,Aerospace,https://asc-csa.hiringplatform.ca/221901-stage-co-enregistration-geometrique-et-segmentation-d-images-multispectrales-provenant-de-cameras-distinctes/993158-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Artificial Intelligence and Human Factors Intern - Space Utilization - Winter 2026,"Longueuil, QC",Winter,4,AI / Data,https://asc-csa.hiringplatform.ca/221983-stagiaire-en-intelligence-artificielle-et-facteur-humain/993598-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Data Mining Intern - Space Utilization - Space Exploration - Winter 2026,"Longueuil, QC",Winter,4,Aerospace,https://asc-csa.hiringplatform.ca/221974-stagiaire-pour-l-analyse-de-donnees/993565-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship - Simulations and planning for the QEYSSat mission - Space Utilization - Summer 2026,"Longueuil, QC",Summer,4,Aerospace,https://asc-csa.hiringplatform.ca/229044-stage-simulations-et-planification-pour-la-mission-qeyssat/1035049-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship - Applied AI developer for in-house pilot project - Space Science and Technology - Summer 2026,"Longueuil, QC",Summer,4,Software,https://asc-csa.hiringplatform.ca/229043-stage-developpeur-en-ia-appliquee-pour-projet-pilote-interne/1035048-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship - Development of a laboratory testbed for quantum source characterization and pre-flight ground equipment testing for the QEYSSat mission. - Space Science and Technology - Summer 2026,"Longueuil, QC",Summer,4,Aerospace,https://asc-csa.hiringplatform.ca/229030-stage-developpement-d-un-banc-d-essai-pour-la-caracterisation-des-sources-quantiques-et-les-tests-prealables-au-vol-des-equipements-au-sol/1034998-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Horticultural Maintenance Technician - Finance and Corporate Services - Summer 2026,"Longueuil, QC",Summer,4,Aerospace,https://asc-csa.hiringplatform.ca/229260-stage-technicien-entretien-horticole/1036184-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship - Development of Multi-Static Radar Performance Analysis Tool - Space Utilization - Summer 2026,"Longueuil, QC",Summer,4,Aerospace,https://asc-csa.hiringplatform.ca/229306-stage-developpement-d-outil-d-analyse-pour-performance-de-radar-multi-statique/1036434-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship - Stratos Mechanical Engineering - Space Science and Technology - Summer 2026,"Longueuil, QC",Summer,4,Engineering,https://asc-csa.hiringplatform.ca/229457-stage-ingenierie-mecanique-stratos/1036900-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship - Integration and pre-flight testing of the Optical Quantum Ground Station for the QEYSSat mission - Space Science and Technology - Summer 2026,"Longueuil, QC",Summer,4,Aerospace,https://asc-csa.hiringplatform.ca/229614-stage-integration-et-essais-prealables-au-vol-de-la-station-optique-quantique-au-sol-pour-la-mission-qeyssat/1037795-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship - Satellite Data Scientist - Space Science and Technology - Summer 2026,"Longueuil, QC",Summer,4,Aerospace,https://asc-csa.hiringplatform.ca/229660-stage-scientifique-des-donnees-satellitaires/1038068-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Space Weather and Heliophysics Support Internship,"Longueuil, QC",Fall,4,Aerospace,https://asc-csa.hiringplatform.ca/229668-stage-de-soutien-a-la-meteorologie-spatiale-et-a-l-heliophysique/1038122-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,"Intern, Digital transformation","Longueuil, QC",Fall,4,Aerospace,https://asc-csa.hiringplatform.ca/229911-stagiaire-transformation-numerique/1039535-formulaire/en,2026-07-13,,,Apply via co-op office
D2L,Bilingual Product Support Analyst (Canadian French),"Kitchener Ontario, Toronto",Winter,4,Software,https://www.d2l.com/careers/jobs/?job_id=7696196&gh_jid=7696196,2026-06-19,,,
D2L,Customer Success Manager,"UK - remote; London, UK",Summer,4,Software,https://www.d2l.com/careers/jobs/?job_id=8044319&gh_jid=8044319,2026-07-11,,,
D2L,Senior Information Security Analyst,Kitchener,Summer,4,Software,https://www.d2l.com/careers/jobs/?job_id=7972446&gh_jid=7972446,2026-07-09,,,
Hootsuite,"Account Executive, Enterprise Sales","Toronto, Ontario",Summer,4,Software,https://job-boards.greenhouse.io/hootsuite/jobs/8049709,2026-07-10,,,
Hootsuite,Customer Success Manager,"Mexico City, Mexico",Summer,4,Software,https://job-boards.greenhouse.io/hootsuite/jobs/8053700,2026-07-09,,,
D2L,Bilingual Trainer,"Kitchener, Ontario; Remote within Canada",Summer,4,Software,https://www.d2l.com/careers/jobs/?job_id=8055892&gh_jid=8055892,2026-07-17,,,
D2L,Customer Lifecycle Marketing Manager - 18 Month Contract,"Remote - Canada; Kitchener, Ontario; Toronto",Summer,4,Software,https://www.d2l.com/careers/jobs/?job_id=7951222&gh_jid=7951222,2026-07-13,,,
D2L,"Implementation Consultant, Project Lead","Kitchener, Ontario; Remote - Canada",Fall,4,Software,https://www.d2l.com/careers/jobs/?job_id=8055909&gh_jid=8055909,2026-07-17,,,
D2L,"Manager, Business Development","Kitchener, Ontario",Summer,4,Software,https://www.d2l.com/careers/jobs/?job_id=8047076&gh_jid=8047076,2026-07-13,,,
D2L,Senior Account Manager - The Netherlands,The Netherlands,Summer,4,Software,https://www.d2l.com/careers/jobs/?job_id=7931637&gh_jid=7931637,2026-06-19,,,
Hootsuite,AI Social Strategist,"Vancouver, British Columbia",Summer,6,Software,https://job-boards.greenhouse.io/hootsuite/jobs/7943876,2026-07-13,,,
Hootsuite,Customer Experience Operations Manager,"Mumbai, Pune",Summer,4,Software,https://job-boards.greenhouse.io/hootsuite/jobs/8053629,2026-07-16,,,
Hootsuite,"Lead, Data Development, AI Platform","Ottawa, Canada; Toronto",Summer,4,Software,https://job-boards.greenhouse.io/hootsuite/jobs/8036364,2026-07-15,,,
Hootsuite,"Training Specialist, Customer Support","Mexico City, Mexico",Summer,4,Software,https://job-boards.greenhouse.io/hootsuite/jobs/8060177,2026-07-14,,,
